"BehaviorSpace results (NetLogo 6.0.4)"
"attitude_change.nlogo"
"delta_p2"
"08/21/2018 15:54:30:733 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","200","-38","38"
"[run number]","initial_groupspread","independent_distribution","latitude_acceptance","color_axis_max","sharpness_acceptance","alpha","p","eta","polarity","focus_one","b","M","p_as","motivated_cognition","N","rolling","skip_ticks_draw","iterations_per_tick","visualization","intergroup_credibility","[step]","cum_fragmentation","cum_sd","cum_biasmean"
"1","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0","0","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","0","0","3.5"
"2","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0","0.05","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","0","0","3.5"
"3","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0","0.1","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","0","0","3.5"
"4","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0","0.15","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","0","0","3.5"
"5","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0","0.2","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","0","0","3.5"
"6","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0","0.25","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","0","0","3.5"
"7","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0","0.3","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","0","0","3.5"
"8","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0","0.35","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","0","0","3.5"
"9","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0","0.4","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","0","0","3.5"
"10","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0","0.45","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","0","0","3.5"
"11","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0","0.5","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","0","0","3.5"
