"BehaviorSpace results (NetLogo 6.0.4)"
"attitude_change_2.nlogo"
"LambdaTheta"
"09/07/2018 16:46:20:472 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","200","-30","30"
"[run number]","N","alpha","eta","theta","M","motivated_cognition","lambda","k","polarity","b","initial_groupspread","intergroup_credibility","theta_as","spinup_tick","skip_ticks_draw","iterations_per_tick","rolling","visualization","color_axis_max","focus_one","run_and_export_figs","[step]","cum_biasmean","cum_sd","cum_fragmentation"
"1","500","0.2","0","0.01","3.5","true","0.1","2","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.08717483470405542","1.9592898219881554","2.7215798319233535"
"2","500","0.2","0","0.01","3.5","true","0.1","3","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.06081045592589491","1.8522170223407406","2.307765608045254"
"3","500","0.2","0","0.01","3.5","true","0.1","4","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.056212740333988584","1.8050570678800086","2.162807822644005"
"4","500","0.2","0","0.01","3.5","true","0.1","5","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.06950208579414016","1.7772233405014968","2.0266851425725902"
"5","500","0.2","0","0.01","3.5","true","0.1","6","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.08669173871206641","1.7453697734302533","2.0003792358691386"
"6","500","0.2","0","0.01","3.5","true","0.1","7","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.06128248308644877","1.7730384263066223","2.0449656268499945"
"7","500","0.2","0","0.01","3.5","true","0.1","8","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.06931383155550416","1.7583019753122135","2.0203616109700495"
"8","500","0.2","0","0.01","3.5","true","0.1","9","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.07429077620776989","1.7663712516604548","1.989356741439058"
"9","500","0.2","0","0.01","3.5","true","0.1","10","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.07065209894363533","1.768130421074337","1.9750698666675612"
"10","500","0.2","0","0.01","3.5","true","0.2","2","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.0943555113098489","2.3246470936501913","4.57801353184493"
"11","500","0.2","0","0.01","3.5","true","0.2","3","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.10548334818343152","2.2086807129614425","3.9250939333156434"
"12","500","0.2","0","0.01","3.5","true","0.2","4","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.12232559276055362","2.1808975142270612","3.767226855153376"
"13","500","0.2","0","0.01","3.5","true","0.2","5","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.09428597022633763","2.143563601292556","3.651550356915212"
"14","500","0.2","0","0.01","3.5","true","0.2","6","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.12494905545757087","2.1257715212945247","3.525980429600696"
"15","500","0.2","0","0.01","3.5","true","0.2","7","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.06615024650051199","2.1177953749234684","3.5073929439743217"
"16","500","0.2","0","0.01","3.5","true","0.2","8","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.09177242812679773","2.1187281499456914","3.5048477824840565"
"17","500","0.2","0","0.01","3.5","true","0.2","9","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.09889311699118758","2.1154867012547776","3.4526358889646427"
"18","500","0.2","0","0.01","3.5","true","0.2","10","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.08048940274477044","2.1072518883261186","3.3874140934872488"
"19","500","0.2","0","0.01","3.5","true","0.3","2","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.12609923850324936","2.5004198701923253","5.704152388692108"
"20","500","0.2","0","0.01","3.5","true","0.3","3","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.08930826597340187","2.4092404281995097","5.125983866139956"
"21","500","0.2","0","0.01","3.5","true","0.3","4","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.1064631722098826","2.366079140817665","4.8401381677947315"
"22","500","0.2","0","0.01","3.5","true","0.3","5","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.09094761475351389","2.3660392575028544","4.85595403233557"
"23","500","0.2","0","0.01","3.5","true","0.3","6","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.09973990926431742","2.3556879895352565","4.781421455531535"
"24","500","0.2","0","0.01","3.5","true","0.3","7","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.08863591256968614","2.3352955900630645","4.685477811491625"
"25","500","0.2","0","0.01","3.5","true","0.3","8","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.09447861416025492","2.3301421561331295","4.672257723580014"
"26","500","0.2","0","0.01","3.5","true","0.3","9","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.09812587728115671","2.336503048405445","4.706405278508267"
"27","500","0.2","0","0.01","3.5","true","0.3","10","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.08208320538615192","2.3197221251066282","4.664406068832089"
"28","500","0.2","0","0.01","3.5","true","0.4","2","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.14954199865326417","2.6122086766795656","6.559911765381476"
"29","500","0.2","0","0.01","3.5","true","0.4","3","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.09264651120662033","2.54374393679684","6.050532729695343"
"30","500","0.2","0","0.01","3.5","true","0.4","4","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.11544397369036594","2.5044050719246402","5.766890885551822"
"31","500","0.2","0","0.01","3.5","true","0.4","5","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.09052610971908545","2.4945265651643953","5.768107714939789"
"32","500","0.2","0","0.01","3.5","true","0.4","6","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.09808913936657372","2.4831466679977154","5.654331063719653"
"33","500","0.2","0","0.01","3.5","true","0.4","7","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.1294902868190255","2.47157052801842","5.6073806063317395"
"34","500","0.2","0","0.01","3.5","true","0.4","8","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.08824706473782616","2.4651960018616466","5.53399192685954"
"35","500","0.2","0","0.01","3.5","true","0.4","9","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.08309712707674603","2.456568937758061","5.493704628777272"
"36","500","0.2","0","0.01","3.5","true","0.4","10","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.09375373487838906","2.4663357486673685","5.572138493492876"
"37","500","0.2","0","0.01","3.5","true","0.5","2","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.16533438552444418","2.7089565803220377","7.315487039915925"
"38","500","0.2","0","0.01","3.5","true","0.5","3","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.11755927885036001","2.636701213746027","6.773349750699515"
"39","500","0.2","0","0.01","3.5","true","0.5","4","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.10186677675044668","2.5999709759352028","6.50624796785311"
"40","500","0.2","0","0.01","3.5","true","0.5","5","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.11626449124858948","2.5866035303541905","6.38452320070293"
"41","500","0.2","0","0.01","3.5","true","0.5","6","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.11523167705300859","2.5642509543189993","6.2502577834079"
"42","500","0.2","0","0.01","3.5","true","0.5","7","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.1349755798235184","2.5676729676487677","6.300108955734674"
"43","500","0.2","0","0.01","3.5","true","0.5","8","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.1034768481154747","2.5667611625992985","6.280622520069834"
"44","500","0.2","0","0.01","3.5","true","0.5","9","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.09997265339952395","2.5616734210302554","6.258771060046582"
"45","500","0.2","0","0.01","3.5","true","0.5","10","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.11416682905526182","2.555730338850136","6.187907836001625"
"46","500","0.2","0","0.01","3.5","true","0.6","2","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.13292157495228535","2.781318274038252","7.868665047842751"
"47","500","0.2","0","0.01","3.5","true","0.6","3","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.16230838671380107","2.7158891268108643","7.395572112719865"
"48","500","0.2","0","0.01","3.5","true","0.6","4","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.10198940712465489","2.6748431846394083","7.092223701022039"
"49","500","0.2","0","0.01","3.5","true","0.6","5","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.1384017298981565","2.6494877753426644","6.892649719528914"
"50","500","0.2","0","0.01","3.5","true","0.6","6","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.11438505365616994","2.646169914871545","6.863499028622973"
"51","500","0.2","0","0.01","3.5","true","0.6","7","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.12749945475161284","2.6436146431573984","6.864182325422012"
"52","500","0.2","0","0.01","3.5","true","0.6","8","false","2","0","1","idiosyncrasy probability","50","10","20","true","Heatmap timeline","0.15","false","false","1","0.09407983702097013","2.6435674146085324","6.899863309467331"
